10,10,11.32699
10,11,11.72684
10,12,12.09084
10,13,12.79687
10,7,11.04836
10,8,11.16865
10,9,11.23165
11,10,12.29278
11,11,12.5054
11,12,12.87962
11,7,11.77495
11,8,11.93415
11,9,12.25203
12,10,13.247
12,11,13.19963
12,7,13.10946
12,8,13.25662
12,9,13.266
13,10,14.19526
13,7,14.184
13,8,14.34445
13,9,14.38212
14,7,15.2649
14,8,15.0414
14,9,15.50074
15,7,16.6363
15,8,16.42201
16,7,17.7086
4,10,9.91181
4,11,11.00869
4,12,12.0698
4,13,13.172
4,14,14.44126
4,15,15.45577
4,16,16.60898
4,17,17.6688
4,18,18.89741
4,19,19.95786
4,7,7.561919
4,8,7.718088
4,9,8.695266
5,10,9.73443
5,11,10.74017
5,12,11.73276
5,13,12.81058
5,14,14.07294
5,15,15.08684
5,16,16.43809
5,17,17.41182
5,18,18.60462
5,7,6.907342
5,8,7.805
5,9,8.738093
6,10,9.548285
6,11,10.80204
6,12,11.7038
6,13,12.59628
6,14,13.68324
6,15,15.02376
6,16,16.09985
6,17,17.30173
6,7,7.4895
6,8,8.133139
6,9,8.923682
7,10,9.90152
7,11,10.89583
7,12,11.45668
7,13,12.71819
7,14,13.80198
7,15,14.86852
7,16,15.96667
7,7,8.165715
7,8,8.621136
7,9,9.212305
8,10,10.211
8,11,10.73265
8,12,11.69675
8,13,12.36286
8,14,13.54962
8,15,14.99853
8,7,8.892003
8,8,9.031565
8,9,9.671662
9,10,10.75083
9,11,11.11588
9,12,12.57901
9,13,12.59273
9,14,13.27975
9,7,9.996002
9,8,10.17948
9,9,10.41115
