mass_A
t,x,y
1.452366667E2,1.975383285E-1,4.231149004E-1
1.452408333E2,1.975383285E-1,4.231149004E-1
1.452450000E2,1.979346244E-1,4.231203397E-1
1.452491667E2,1.973461161E-1,4.229707320E-1
1.452533333E2,1.974247547E-1,4.229718113E-1
1.452575000E2,1.974247547E-1,4.229718113E-1
1.452616667E2,1.974247547E-1,4.229718113E-1
1.452658333E2,1.974247547E-1,4.229718113E-1
1.452700000E2,1.974247547E-1,4.229718113E-1
1.452741667E2,1.974247547E-1,4.229718113E-1
1.452783333E2,1.974247547E-1,4.229718113E-1
1.452825000E2,1.974247547E-1,4.229718113E-1
1.452866667E2,1.974247547E-1,4.229718113E-1
1.452908333E2,1.974247547E-1,4.229718113E-1
1.452950000E2,1.978965868E-1,4.229782874E-1
1.452991667E2,1.978965868E-1,4.229782874E-1
1.453033333E2,1.978965868E-1,4.229782874E-1
1.453075000E2,1.978965868E-1,4.229782874E-1
1.453116667E2,1.981325029E-1,4.229815255E-1
1.453158333E2,1.982111416E-1,4.229826049E-1
1.453200000E2,1.982111416E-1,4.229826049E-1
1.453241667E2,1.982111416E-1,4.229826049E-1
1.453283333E2,1.986043350E-1,4.229880016E-1
1.453325000E2,1.986043350E-1,4.229880016E-1
1.453366667E2,1.986043350E-1,4.229880016E-1
1.453408333E2,1.986043350E-1,4.229880016E-1
1.453450000E2,1.986043350E-1,4.229880016E-1
1.453491667E2,1.986043350E-1,4.229880016E-1
1.453533333E2,1.986043350E-1,4.229880016E-1
1.453575000E2,1.986043350E-1,4.229880016E-1
1.453616667E2,1.986043350E-1,4.229880016E-1
1.453658333E2,1.986043350E-1,4.229880016E-1
1.453700000E2,1.986043350E-1,4.229880016E-1
1.453741667E2,1.986043350E-1,4.229880016E-1
1.453783333E2,1.993120831E-1,4.229977158E-1
1.453825000E2,1.990750877E-1,4.230731164E-1
1.453866667E2,1.990750877E-1,4.230731164E-1
1.453908333E2,1.990750877E-1,4.230731164E-1
1.453950000E2,1.990750877E-1,4.230731164E-1
1.453991667E2,1.990750877E-1,4.230731164E-1
1.454033333E2,1.990750877E-1,4.230731164E-1
1.454075000E2,1.990750877E-1,4.230731164E-1
1.454116667E2,1.990750877E-1,4.230731164E-1
1.454158333E2,1.990750877E-1,4.230731164E-1
1.454200000E2,1.990750877E-1,4.230731164E-1
1.454241667E2,1.990750877E-1,4.230731164E-1
1.454283333E2,1.990750877E-1,4.230731164E-1
1.454325000E2,1.990750877E-1,4.230731164E-1
1.454366667E2,1.990729290E-1,4.232303938E-1
1.454408333E2,1.991515677E-1,4.232314732E-1
1.454450000E2,1.991515677E-1,4.232314732E-1
1.454491667E2,1.993088450E-1,4.232336319E-1
1.454533333E2,1.993088450E-1,4.232336319E-1
1.454575000E2,1.995447611E-1,4.232368699E-1
1.454616667E2,1.995447611E-1,4.232368699E-1
1.454658333E2,1.997817565E-1,4.231614693E-1
1.454700000E2,1.997817565E-1,4.231614693E-1
1.454741667E2,1.997817565E-1,4.231614693E-1
1.454783333E2,2.002535886E-1,4.231679454E-1
1.454825000E2,2.002535886E-1,4.231679454E-1
1.454866667E2,2.002535886E-1,4.231679454E-1
1.454908333E2,2.001749499E-1,4.231668661E-1
1.454950000E2,2.001749499E-1,4.231668661E-1
1.454991667E2,2.001749499E-1,4.231668661E-1
1.455033333E2,2.002535886E-1,4.231679454E-1
1.455075000E2,2.002535886E-1,4.231679454E-1
1.455116667E2,2.002535886E-1,4.231679454E-1
1.455158333E2,2.002535886E-1,4.231679454E-1
1.455200000E2,2.002535886E-1,4.231679454E-1
1.455241667E2,2.004895046E-1,4.231711835E-1
1.455283333E2,2.004895046E-1,4.231711835E-1
1.455325000E2,2.004895046E-1,4.231711835E-1
1.455366667E2,2.005670640E-1,4.232509015E-1
1.455408333E2,2.007243413E-1,4.232530602E-1
1.455450000E2,2.008029800E-1,4.232541396E-1
1.455491667E2,2.009602574E-1,4.232562983E-1
1.455533333E2,2.009602574E-1,4.232562983E-1
1.455575000E2,2.009602574E-1,4.232562983E-1
1.455616667E2,2.009602574E-1,4.232562983E-1
1.455658333E2,2.009602574E-1,4.232562983E-1
1.455700000E2,2.009602574E-1,4.232562983E-1
1.455741667E2,2.009602574E-1,4.232562983E-1
