mass_A
t,x,y
9.089083333E1,2.212249819E-1,3.955605005E-1
9.089500000E1,2.215021497E-1,3.958419905E-1
9.089916667E1,2.216418141E-1,3.958430710E-1
9.090333333E1,2.216418141E-1,3.958430710E-1
9.090750000E1,2.216418141E-1,3.958430710E-1
9.091166667E1,2.216418141E-1,3.958430710E-1
9.091583333E1,2.216428946E-1,3.957034066E-1
9.092000000E1,2.217825591E-1,3.957044871E-1
9.092416667E1,2.217825591E-1,3.957044871E-1
9.092833333E1,2.220618880E-1,3.957066482E-1
9.093250000E1,2.220618880E-1,3.957066482E-1
9.093666667E1,2.220618880E-1,3.957066482E-1
9.094083333E1,2.220618880E-1,3.957066482E-1
9.094500000E1,2.224808813E-1,3.957098898E-1
9.094916667E1,2.224808813E-1,3.957098898E-1
9.095333333E1,2.224808813E-1,3.957098898E-1
9.095750000E1,2.224808813E-1,3.957098898E-1
9.096166667E1,2.224808813E-1,3.957098898E-1
9.096583333E1,2.230427806E-1,3.952952186E-1
9.097000000E1,2.230427806E-1,3.952952186E-1
9.097416667E1,2.237411028E-1,3.953006213E-1
9.097833333E1,2.237411028E-1,3.953006213E-1
9.098250000E1,2.237411028E-1,3.953006213E-1
9.098666667E1,2.238807673E-1,3.953017018E-1
9.099083333E1,2.238764451E-1,3.958603595E-1
9.099500000E1,2.238764451E-1,3.958603595E-1
9.099916667E1,2.241557740E-1,3.958625206E-1
9.100333333E1,2.242986800E-1,3.954446078E-1
9.100750000E1,2.247176734E-1,3.954478494E-1
9.101166667E1,2.251366667E-1,3.954510910E-1
9.101583333E1,2.251366667E-1,3.954510910E-1
9.102000000E1,2.251366667E-1,3.954510910E-1
9.102416667E1,2.254159955E-1,3.954532521E-1
9.102833333E1,2.254159955E-1,3.954532521E-1
9.103250000E1,2.255545795E-1,3.955939971E-1
9.103666667E1,2.255545795E-1,3.955939971E-1
9.104083333E1,2.259735728E-1,3.955972387E-1
9.104500000E1,2.259735728E-1,3.955972387E-1
9.104916667E1,2.262529016E-1,3.955993997E-1
9.105333333E1,2.266729755E-1,3.954629769E-1
9.105750000E1,2.268126399E-1,3.954640574E-1
9.106166667E1,2.272316332E-1,3.954672990E-1
9.106583333E1,2.279331970E-1,3.950537084E-1
9.107000000E1,2.279331970E-1,3.950537084E-1
9.107416667E1,2.279331970E-1,3.950537084E-1
9.107833333E1,2.280728615E-1,3.950547889E-1
