mass_A
t,x,y
2.179166667E0,2.171318466E-1,3.478543358E-1
2.183333333E0,2.171318456E-1,3.478543357E-1
2.187500000E0,2.171318459E-1,3.478543358E-1
2.191666667E0,2.171318459E-1,3.478543358E-1
2.195833333E0,2.171310907E-1,3.478526722E-1
2.200000000E0,2.171239024E-1,3.478539894E-1
2.204166667E0,2.171249675E-1,3.478539608E-1
2.208333333E0,2.171253653E-1,3.478539225E-1
2.212500000E0,2.171253197E-1,3.478539251E-1
2.216666667E0,2.171600833E-1,3.478597326E-1
2.220833333E0,2.171629525E-1,3.478592778E-1
2.225000000E0,2.171417558E-1,3.478570445E-1
2.229166667E0,2.171301854E-1,3.478552957E-1
2.233333333E0,2.171038378E-1,3.478512485E-1
2.237500000E0,2.171167354E-1,3.478525088E-1
2.241666667E0,2.171420075E-1,3.478572398E-1
2.245833333E0,2.171453942E-1,3.478603225E-1
2.250000000E0,2.171400548E-1,3.478589826E-1
2.254166667E0,2.171370341E-1,3.478581055E-1
2.258333333E0,2.171346143E-1,3.478574063E-1
2.262500000E0,2.171280693E-1,3.478541452E-1
2.266666667E0,2.171320181E-1,3.478570366E-1
2.270833333E0,2.171303921E-1,3.478564698E-1
2.275000000E0,2.171318588E-1,3.478565756E-1
2.279166667E0,2.171328255E-1,3.478566107E-1
2.283333333E0,2.171306919E-1,3.478564567E-1
2.287500000E0,2.171320404E-1,3.478565517E-1
2.291666667E0,2.171325682E-1,3.478565891E-1
2.295833333E0,2.171329201E-1,3.478566295E-1
2.300000000E0,2.171333714E-1,3.478472294E-1
2.304166667E0,2.171326347E-1,3.478582604E-1
2.308333333E0,2.171323745E-1,3.478572577E-1
2.312500000E0,2.171366247E-1,3.478534900E-1
2.316666667E0,2.171368897E-1,3.478543205E-1
2.320833333E0,2.171351108E-1,3.478542344E-1
2.325000000E0,2.172181515E-1,3.478638135E-1
2.329166667E0,2.171907955E-1,3.478590676E-1
2.333333333E0,2.171750058E-1,3.478600745E-1
2.337500000E0,2.171630688E-1,3.478587475E-1
2.341666667E0,2.171552638E-1,3.478589096E-1
2.345833333E0,2.171508757E-1,3.478574353E-1
2.350000000E0,2.171471060E-1,3.478569517E-1
2.354166667E0,2.171443905E-1,3.478565427E-1
2.358333333E0,2.171434523E-1,3.478563434E-1
2.362500000E0,2.171427296E-1,3.478561830E-1
2.366666667E0,2.171561034E-1,3.478577637E-1
2.370833333E0,2.171408600E-1,3.478560216E-1
2.375000000E0,2.172252512E-1,3.478633217E-1
2.379166667E0,2.172004011E-1,3.478610351E-1
2.383333333E0,2.171778858E-1,3.478591884E-1
2.387500000E0,2.171669342E-1,3.478557581E-1
2.391666667E0,2.171557432E-1,3.478577755E-1
2.395833333E0,2.171562264E-1,3.478605663E-1
2.400000000E0,2.171458076E-1,3.478559677E-1
2.404166667E0,2.171542402E-1,3.478571627E-1
2.408333333E0,2.171497930E-1,3.478565087E-1
2.412500000E0,2.172327205E-1,3.478643349E-1
2.416666667E0,2.172029461E-1,3.478617451E-1
2.420833333E0,2.171830438E-1,3.478487515E-1
2.425000000E0,2.171684919E-1,3.478500622E-1
2.429166667E0,2.171586309E-1,3.478510311E-1
2.433333333E0,2.171563033E-1,3.478595038E-1
2.437500000E0,2.171748002E-1,3.478616110E-1
2.441666667E0,2.171553457E-1,3.478539790E-1
2.445833333E0,2.172486708E-1,3.478574052E-1
2.450000000E0,2.172116570E-1,3.478560142E-1
2.454166667E0,2.171865873E-1,3.478552705E-1
2.458333333E0,2.171839508E-1,3.478597019E-1
2.462500000E0,2.171751382E-1,3.478510616E-1
2.466666667E0,2.171619548E-1,3.478559263E-1
2.470833333E0,2.172501016E-1,3.478650312E-1
2.475000000E0,2.172227719E-1,3.478549147E-1
2.479166667E0,2.172247744E-1,3.478282438E-1
2.483333333E0,2.172883218E-1,3.478482076E-1
2.487500000E0,2.172296364E-1,3.478499218E-1
2.491666667E0,2.172323312E-1,3.478516363E-1
2.495833333E0,2.171972756E-1,3.478522606E-1
2.500000000E0,2.171955055E-1,3.478539335E-1
2.504166667E0,2.171764675E-1,3.478562669E-1
2.508333333E0,2.171626841E-1,3.478534956E-1
2.512500000E0,2.171854884E-1,3.478486693E-1
2.516666667E0,2.172786016E-1,3.478697662E-1
2.520833333E0,2.172774956E-1,3.478491817E-1
2.525000000E0,2.172094925E-1,3.478578529E-1
2.529166667E0,2.173882783E-1,3.478821081E-1
2.533333333E0,2.172468870E-1,3.478020293E-1
2.537500000E0,2.173835560E-1,3.478300643E-1
2.541666667E0,2.173179760E-1,3.478382406E-1
2.545833333E0,2.173064027E-1,3.478901943E-1
2.550000000E0,2.174374501E-1,3.478370388E-1
2.554166667E0,2.173687746E-1,3.478430573E-1
2.558333333E0,2.175969810E-1,3.478519044E-1
2.562500000E0,2.177374187E-1,3.478699921E-1
2.566666667E0,2.178244818E-1,3.478931345E-1
2.570833333E0,2.179087582E-1,3.479099986E-1
2.575000000E0,2.179079037E-1,3.479118474E-1
2.579166667E0,2.179749444E-1,3.479155713E-1
2.583333333E0,2.181540066E-1,3.479361089E-1
2.587500000E0,2.180601951E-1,3.478626771E-1
2.591666667E0,2.182210473E-1,3.478825107E-1
2.595833333E0,2.181320586E-1,3.478888211E-1
2.600416667E0,2.183120832E-1,3.478890385E-1
2.604583333E0,2.185519311E-1,3.479359994E-1
2.608750000E0,2.186743387E-1,3.479618590E-1
2.612916667E0,2.187072540E-1,3.479691222E-1
2.617083333E0,2.188545507E-1,3.479652613E-1
2.621250000E0,2.188368562E-1,3.479164352E-1
2.625416667E0,2.190795408E-1,3.479393504E-1
2.629583333E0,2.193440386E-1,3.478667878E-1
2.633750000E0,2.194219880E-1,3.479499128E-1
2.637916667E0,2.195269628E-1,3.479560364E-1
2.642083333E0,2.196395206E-1,3.479797474E-1
2.646250000E0,2.198208501E-1,3.480222818E-1
2.650416667E0,2.198251429E-1,3.480379895E-1
2.654583333E0,2.200867062E-1,3.480298414E-1
2.658750000E0,2.202286732E-1,3.480071516E-1
2.662916667E0,2.202510303E-1,3.480438690E-1
2.667083333E0,2.204048339E-1,3.480611726E-1
2.671250000E0,2.208383435E-1,3.480918003E-1
2.675416667E0,2.209672670E-1,3.481360128E-1
2.679583333E0,2.211457153E-1,3.481312983E-1
2.683750000E0,2.212176155E-1,3.480483563E-1
2.687916667E0,2.216541212E-1,3.480945597E-1
2.692083333E0,2.217104546E-1,3.481486334E-1
2.696250000E0,2.218084886E-1,3.481633597E-1
2.700416667E0,2.221837989E-1,3.479880804E-1
2.704583333E0,2.225182779E-1,3.480951925E-1
2.708750000E0,2.229381626E-1,3.480071758E-1
2.712916667E0,2.232442612E-1,3.480584150E-1
2.717083333E0,2.235113586E-1,3.479079503E-1
2.721250000E0,2.239470904E-1,3.477444038E-1
2.725416667E0,2.241719314E-1,3.476703191E-1
2.729583333E0,2.247431261E-1,3.476888374E-1
2.733750000E0,2.248851315E-1,3.476949374E-1
2.737916667E0,2.253883064E-1,3.476311901E-1
2.742083333E0,2.256700518E-1,3.477238276E-1
2.746250000E0,2.261483890E-1,3.474629873E-1
2.750416667E0,2.265537328E-1,3.472921893E-1
2.754583333E0,2.270669821E-1,3.472102087E-1
2.758750000E0,2.273357649E-1,3.471452049E-1
2.762916667E0,2.279172609E-1,3.470925337E-1
2.767083333E0,2.280903803E-1,3.470892378E-1
2.771250000E0,2.287195516E-1,3.470183433E-1
2.775416667E0,2.293013022E-1,3.467372992E-1
2.779583333E0,2.296541798E-1,3.465780956E-1
2.783750000E0,2.303357794E-1,3.465572921E-1
2.787916667E0,2.308186812E-1,3.463707151E-1
2.792083333E0,2.315535141E-1,3.462143208E-1
2.796250000E0,2.320132231E-1,3.459873009E-1
2.800416667E0,2.326675325E-1,3.459205488E-1
2.804583333E0,2.333794079E-1,3.454638701E-1
2.808750000E0,2.338598917E-1,3.453676346E-1
2.812916667E0,2.344314204E-1,3.453517869E-1
2.817083333E0,2.351976725E-1,3.448578124E-1
2.821250000E0,2.359497756E-1,3.446805282E-1
2.825416667E0,2.367076119E-1,3.445597445E-1
2.829583333E0,2.374054353E-1,3.442185565E-1
2.833750000E0,2.382319100E-1,3.439035271E-1
2.837916667E0,2.391187755E-1,3.436096103E-1
2.842083333E0,2.398826080E-1,3.434530918E-1
2.846250000E0,2.407678525E-1,3.428440543E-1
2.850416667E0,2.415917477E-1,3.426650909E-1
2.854583333E0,2.424353206E-1,3.422207243E-1
2.858750000E0,2.433785333E-1,3.418236237E-1
2.862916667E0,2.441408529E-1,3.414785803E-1
2.867083333E0,2.452314212E-1,3.408724610E-1
2.871250000E0,2.463859788E-1,3.402924572E-1
2.875416667E0,2.472626647E-1,3.400164354E-1
2.879583333E0,2.483100860E-1,3.394178904E-1
2.883750000E0,2.494109689E-1,3.388457950E-1
2.887916667E0,2.505638929E-1,3.381914858E-1
2.892083333E0,2.515044240E-1,3.375530137E-1
2.896250000E0,2.528308394E-1,3.368527340E-1
2.900416667E0,2.537624175E-1,3.361210922E-1
2.904583333E0,2.550314034E-1,3.353129578E-1
2.908750000E0,2.563399199E-1,3.344218699E-1
2.912916667E0,2.578192008E-1,3.335145383E-1
2.917083333E0,2.589698205E-1,3.326534939E-1
2.921250000E0,2.603541192E-1,3.314300749E-1
2.925416667E0,2.614672703E-1,3.305765308E-1
2.929583333E0,2.629346033E-1,3.292526128E-1
2.933750000E0,2.642653662E-1,3.283496245E-1
