mass_A
t,x,y
7.308500000E1,2.196647909E-1,3.963408156E-1
7.308916667E1,2.194350945E-1,3.966478693E-1
7.309333333E1,2.199616811E-1,3.966519434E-1
7.309750000E1,2.199616811E-1,3.966519434E-1
7.310166667E1,2.199616811E-1,3.966519434E-1
7.310583333E1,2.199616811E-1,3.966519434E-1
7.311000000E1,2.199616811E-1,3.966519434E-1
7.311416667E1,2.199616811E-1,3.966519434E-1
7.311833333E1,2.199616811E-1,3.966519434E-1
7.312250000E1,2.199616811E-1,3.966519434E-1
7.312666667E1,2.201591511E-1,3.966534711E-1
7.313083333E1,2.201591511E-1,3.966534711E-1
7.313500000E1,2.203566211E-1,3.966549989E-1
7.313916667E1,2.203566211E-1,3.966549989E-1
7.314333333E1,2.203566211E-1,3.966549989E-1
7.314750000E1,2.203566211E-1,3.966549989E-1
7.315166667E1,2.203566211E-1,3.966549989E-1
7.315583333E1,2.204882678E-1,3.966560174E-1
7.316000000E1,2.204882678E-1,3.966560174E-1
7.316416667E1,2.204882678E-1,3.966560174E-1
7.316833333E1,2.205556189E-1,3.964590566E-1
7.317250000E1,2.205556189E-1,3.964590566E-1
7.317666667E1,2.206872655E-1,3.964600751E-1
7.318083333E1,2.206857378E-1,3.966575451E-1
7.318500000E1,2.206857378E-1,3.966575451E-1
7.318916667E1,2.209490311E-1,3.966595821E-1
7.319333333E1,2.209490311E-1,3.966595821E-1
7.319750000E1,2.212781478E-1,3.966621284E-1
7.320166667E1,2.213439711E-1,3.966626376E-1
7.320583333E1,2.213439711E-1,3.966626376E-1
7.321000000E1,2.214756178E-1,3.966636561E-1
7.321416667E1,2.214756178E-1,3.966636561E-1
7.321833333E1,2.215414411E-1,3.966641654E-1
7.322250000E1,2.216730878E-1,3.966651839E-1
7.322666667E1,2.216730878E-1,3.966651839E-1
7.323083333E1,2.216730878E-1,3.966651839E-1
7.323500000E1,2.218705578E-1,3.966667117E-1
7.323916667E1,2.218705578E-1,3.966667117E-1
7.324333333E1,2.218700485E-1,3.967325350E-1
7.324750000E1,2.221333419E-1,3.967345720E-1
7.325166667E1,2.221333419E-1,3.967345720E-1
7.325583333E1,2.221333419E-1,3.967345720E-1
7.326000000E1,2.222654978E-1,3.966697672E-1
7.326416667E1,2.222654978E-1,3.966697672E-1
7.326833333E1,2.224634770E-1,3.966054716E-1
7.327250000E1,2.225293003E-1,3.966059808E-1
7.327666667E1,2.227267703E-1,3.966075086E-1
7.328083333E1,2.227267703E-1,3.966075086E-1
7.328500000E1,2.230558870E-1,3.966100549E-1
7.328916667E1,2.230558870E-1,3.966100549E-1
7.329333333E1,2.230558870E-1,3.966100549E-1
7.329750000E1,2.233191803E-1,3.966120919E-1
7.330166667E1,2.233191803E-1,3.966120919E-1
7.330583333E1,2.234508270E-1,3.966131104E-1
7.331000000E1,2.234508270E-1,3.966131104E-1
7.331416667E1,2.237141203E-1,3.966151474E-1
7.331833333E1,2.237141203E-1,3.966151474E-1
7.332250000E1,2.240432370E-1,3.966176936E-1
7.332666667E1,2.241090603E-1,3.966182029E-1
7.333083333E1,2.243065303E-1,3.966197306E-1
7.333500000E1,2.243065303E-1,3.966197306E-1
7.333916667E1,2.245040003E-1,3.966212584E-1
7.334333333E1,2.246366655E-1,3.964906302E-1
7.334750000E1,2.248346447E-1,3.964263347E-1
7.335166667E1,2.248356632E-1,3.962946880E-1
7.335583333E1,2.249014866E-1,3.962951972E-1
7.336000000E1,2.252964266E-1,3.962982528E-1
7.336416667E1,2.254280732E-1,3.962992713E-1
7.336833333E1,2.258230132E-1,3.963023268E-1
7.337250000E1,2.260209925E-1,3.962380312E-1
7.337666667E1,2.262842858E-1,3.962400682E-1
7.338083333E1,2.266144210E-1,3.961109678E-1
7.338500000E1,2.268118910E-1,3.961124955E-1
7.338916667E1,2.270756936E-1,3.960487092E-1
7.339333333E1,2.270756936E-1,3.960487092E-1
7.339750000E1,2.278007687E-1,3.959226643E-1
7.340166667E1,2.281957087E-1,3.959257198E-1
7.340583333E1,2.281957087E-1,3.959257198E-1
7.341000000E1,2.281957087E-1,3.959257198E-1
7.341416667E1,2.288544513E-1,3.958649890E-1
7.341833333E1,2.291835680E-1,3.958675353E-1
7.342250000E1,2.293810379E-1,3.958690630E-1
7.342666667E1,2.294468613E-1,3.958695723E-1
7.343083333E1,2.296443313E-1,3.958711000E-1
7.343916667E1,2.300402898E-1,3.957425089E-1
7.344333333E1,2.308306790E-1,3.956827966E-1
7.344750000E1,2.315557542E-1,3.955567517E-1
7.345166667E1,2.321486734E-1,3.954955116E-1
7.345583333E1,2.322155153E-1,3.953643742E-1
7.346000000E1,2.325451412E-1,3.953010971E-1
7.346416667E1,2.329410997E-1,3.951725060E-1
7.346833333E1,2.335340189E-1,3.951112659E-1
7.347250000E1,2.339299774E-1,3.949826748E-1
7.347666667E1,2.341274474E-1,3.949842025E-1
7.348083333E1,2.347198574E-1,3.949887858E-1
7.348500000E1,2.355112652E-1,3.947974268E-1
7.348916667E1,2.365664755E-1,3.945422815E-1
7.349333333E1,2.366991406E-1,3.944116533E-1
7.349750000E1,2.370956084E-1,3.942172388E-1
7.350166667E1,2.374910576E-1,3.941544710E-1
7.350583333E1,2.378870161E-1,3.940258799E-1
7.351000000E1,2.382819561E-1,3.940289354E-1
7.351416667E1,2.385457587E-1,3.939651491E-1
7.351833333E1,2.393381850E-1,3.936421434E-1
7.352250000E1,2.409210005E-1,3.932594255E-1
7.352666667E1,2.413070693E-1,3.934812766E-1
7.353083333E1,2.421887918E-1,3.932241781E-1
7.353500000E1,2.426306739E-1,3.929636768E-1
7.353916667E1,2.435996839E-1,3.927952270E-1
7.354333333E1,2.438649492E-1,3.926213326E-1
7.354750000E1,2.446587036E-1,3.923635536E-1
7.355166667E1,2.457170428E-1,3.920198482E-1
7.355583333E1,2.466846916E-1,3.920273346E-1
7.356000000E1,2.475657335E-1,3.918582042E-1
7.356416667E1,2.485361046E-1,3.915138183E-1
7.356833333E1,2.496817313E-1,3.912587615E-1
7.357250000E1,2.503888788E-1,3.908243658E-1
7.357666667E1,2.511826332E-1,3.905665868E-1
7.358083333E1,2.522409724E-1,3.902228814E-1
7.358500000E1,2.531240560E-1,3.897898468E-1
7.358916667E1,2.539178104E-1,3.895320678E-1
7.359333333E1,2.549754690E-1,3.892763305E-1
7.359750000E1,2.568268820E-1,3.887628142E-1
7.360166667E1,2.570914668E-1,3.886768879E-1
7.360583333E1,2.584130296E-1,3.884231923E-1
7.361000000E1,2.592081451E-1,3.879894772E-1
7.361416667E1,2.613282264E-1,3.868622261E-1
7.361833333E1,2.613282264E-1,3.868622261E-1
7.362250000E1,2.628311700E-1,3.859061471E-1
7.362666667E1,2.641534134E-1,3.855644835E-1
7.363083333E1,2.668885906E-1,3.845299645E-1
7.363500000E1,2.678596423E-1,3.840976105E-1
7.363916667E1,2.682135563E-1,3.838364286E-1
7.364333333E1,2.697130970E-1,3.833201900E-1
7.364750000E1,2.711273920E-1,3.824513985E-1
7.365166667E1,2.726310162E-1,3.814073514E-1
7.365583333E1,2.743105765E-1,3.803646655E-1
7.366000000E1,2.760760632E-1,3.795865644E-1
7.366416667E1,2.772298568E-1,3.782758908E-1
7.366833333E1,2.796165646E-1,3.767988092E-1
7.367250000E1,2.814720610E-1,3.757574844E-1
7.367666667E1,2.827963462E-1,3.751519166E-1
7.368083333E1,2.843879384E-1,3.741085501E-1
7.368500000E1,2.865093808E-1,3.728053629E-1
7.368916667E1,2.886342262E-1,3.710623353E-1
7.369333333E1,2.904904032E-1,3.699330425E-1
