mass_A
t,x,y
2.956916667E1,2.130412098E-1,3.487521661E-1
2.957333333E1,2.131547664E-1,3.489350239E-1
2.957750000E1,2.132431160E-1,3.490391028E-1
2.958166667E1,2.138282661E-1,3.489900763E-1
2.958583333E1,2.137241872E-1,3.490784259E-1
2.959000000E1,2.134355445E-1,3.490548321E-1
2.959416667E1,2.134355445E-1,3.490548321E-1
2.959833333E1,2.132431160E-1,3.490391028E-1
2.960250000E1,2.132431160E-1,3.490391028E-1
2.960666667E1,2.132431160E-1,3.490391028E-1
2.961083333E1,2.132431160E-1,3.490391028E-1
2.961500000E1,2.137810783E-1,3.495673618E-1
2.961916667E1,2.137810783E-1,3.495673618E-1
2.962333333E1,2.134198152E-1,3.492472605E-1
2.962750000E1,2.134198152E-1,3.492472605E-1
2.963166667E1,2.134198152E-1,3.492472605E-1
2.963583333E1,2.134198152E-1,3.492472605E-1
2.964000000E1,2.134198152E-1,3.492472605E-1
2.964416667E1,2.134198152E-1,3.492472605E-1
2.964833333E1,2.134198152E-1,3.492472605E-1
2.965250000E1,2.132903038E-1,3.484618173E-1
2.965666667E1,2.132273868E-1,3.492315313E-1
2.966083333E1,2.132273868E-1,3.492315313E-1
2.966500000E1,2.132273868E-1,3.492315313E-1
2.966916667E1,2.139008865E-1,3.492865837E-1
2.967333333E1,2.139008865E-1,3.492865837E-1
2.967750000E1,2.139008865E-1,3.492865837E-1
2.968166667E1,2.139008865E-1,3.492865837E-1
2.968583333E1,2.139008865E-1,3.492865837E-1
2.969000000E1,2.139008865E-1,3.492865837E-1
2.969416667E1,2.139008865E-1,3.492865837E-1
2.969833333E1,2.139008865E-1,3.492865837E-1
2.970250000E1,2.139008865E-1,3.492865837E-1
2.970666667E1,2.139008865E-1,3.492865837E-1
2.971083333E1,2.139008865E-1,3.492865837E-1
2.971500000E1,2.139008865E-1,3.492865837E-1
2.971916667E1,2.139008865E-1,3.492865837E-1
2.972333333E1,2.139008865E-1,3.492865837E-1
2.972750000E1,2.139008865E-1,3.492865837E-1
2.973166667E1,2.139008865E-1,3.492865837E-1
2.973583333E1,2.139008865E-1,3.492865837E-1
2.974000000E1,2.139008865E-1,3.492865837E-1
2.974416667E1,2.141169088E-1,3.490136702E-1
2.974833333E1,2.141169088E-1,3.490136702E-1
2.975250000E1,2.141169088E-1,3.490136702E-1
2.975666667E1,2.141169088E-1,3.490136702E-1
2.976083333E1,2.141169088E-1,3.490136702E-1
2.976500000E1,2.141169088E-1,3.490136702E-1
2.976916667E1,2.141169088E-1,3.490136702E-1
2.977333333E1,2.141169088E-1,3.490136702E-1
2.977750000E1,2.141169088E-1,3.490136702E-1
2.978166667E1,2.142131231E-1,3.490215348E-1
2.978583333E1,2.142131231E-1,3.490215348E-1
2.979000000E1,2.142131231E-1,3.490215348E-1
2.979416667E1,2.142131231E-1,3.490215348E-1
2.979833333E1,2.142131231E-1,3.490215348E-1
2.980250000E1,2.142131231E-1,3.490215348E-1
2.980666667E1,2.142131231E-1,3.490215348E-1
2.981083333E1,2.142131231E-1,3.490215348E-1
2.981500000E1,2.142131231E-1,3.490215348E-1
2.981916667E1,2.142131231E-1,3.490215348E-1
2.982333333E1,2.144055516E-1,3.490372641E-1
2.982750000E1,2.145017658E-1,3.490451287E-1
2.983166667E1,2.145017658E-1,3.490451287E-1
2.983583333E1,2.145017658E-1,3.490451287E-1
2.984000000E1,2.145017658E-1,3.490451287E-1
2.984416667E1,2.145017658E-1,3.490451287E-1
2.984833333E1,2.145017658E-1,3.490451287E-1
2.985250000E1,2.145017658E-1,3.490451287E-1
2.985666667E1,2.153676940E-1,3.491159103E-1
2.986083333E1,2.153676940E-1,3.491159103E-1
2.986500000E1,2.153676940E-1,3.491159103E-1
2.986916667E1,2.153676940E-1,3.491159103E-1
2.987333333E1,2.153676940E-1,3.491159103E-1
2.987750000E1,2.153676940E-1,3.491159103E-1
2.988166667E1,2.153676940E-1,3.491159103E-1
2.988583333E1,2.153676940E-1,3.491159103E-1
2.989000000E1,2.153676940E-1,3.491159103E-1
2.989416667E1,2.153676940E-1,3.491159103E-1
2.989833333E1,2.153676940E-1,3.491159103E-1
2.990250000E1,2.153676940E-1,3.491159103E-1
2.990666667E1,2.153676940E-1,3.491159103E-1
2.991083333E1,2.153676940E-1,3.491159103E-1
2.991500000E1,2.153676940E-1,3.491159103E-1
2.991916667E1,2.153676940E-1,3.491159103E-1
2.992333333E1,2.153676940E-1,3.491159103E-1
2.992750000E1,2.158487652E-1,3.491552335E-1
2.993166667E1,2.158487652E-1,3.491552335E-1
2.993583333E1,2.158487652E-1,3.491552335E-1
2.994000000E1,2.158487652E-1,3.491552335E-1
2.994416667E1,2.158487652E-1,3.491552335E-1
2.994833333E1,2.158487652E-1,3.491552335E-1
2.995250000E1,2.158487652E-1,3.491552335E-1
2.995666667E1,2.159764380E-1,3.487782411E-1
2.996083333E1,2.159764380E-1,3.487782411E-1
2.996500000E1,2.159764380E-1,3.487782411E-1
2.996916667E1,2.159764380E-1,3.487782411E-1
2.997333333E1,2.159764380E-1,3.487782411E-1
2.997750000E1,2.159764380E-1,3.487782411E-1
2.998166667E1,2.159764380E-1,3.487782411E-1
2.998583333E1,2.159764380E-1,3.487782411E-1
2.999000000E1,2.159764380E-1,3.487782411E-1
2.999416667E1,2.159764380E-1,3.487782411E-1
2.999833333E1,2.159764380E-1,3.487782411E-1
3.000250000E1,2.159764380E-1,3.487782411E-1
3.000666667E1,2.159764380E-1,3.487782411E-1
3.001083333E1,2.159685734E-1,3.488744554E-1
3.001500000E1,2.162572161E-1,3.488980492E-1
3.001916667E1,2.164496446E-1,3.489137785E-1
3.002333333E1,2.164496446E-1,3.489137785E-1
3.002750000E1,2.165458588E-1,3.489216431E-1
3.003166667E1,2.165458588E-1,3.489216431E-1
3.003583333E1,2.167382873E-1,3.489373724E-1
3.004000000E1,2.167382873E-1,3.489373724E-1
3.004416667E1,2.167382873E-1,3.489373724E-1
3.004833333E1,2.167382873E-1,3.489373724E-1
3.005250000E1,2.167304227E-1,3.490335866E-1
3.005666667E1,2.167304227E-1,3.490335866E-1
3.006083333E1,2.167304227E-1,3.490335866E-1
3.006500000E1,2.167304227E-1,3.490335866E-1
3.006916667E1,2.167304227E-1,3.490335866E-1
3.007333333E1,2.167304227E-1,3.490335866E-1
3.007750000E1,2.167304227E-1,3.490335866E-1
3.008166667E1,2.171231443E-1,3.489688309E-1
