mass_A
t,x,y
1.768875000E1,2.161907594E-1,3.482328379E-1
1.783458333E1,2.170340978E-1,3.484743897E-1
1.803041667E1,2.213629196E-1,3.483103810E-1
1.803875000E1,2.217619262E-1,3.476525297E-1
1.808875000E1,2.243760386E-1,3.473483594E-1
1.811791667E1,2.259473093E-1,3.471315630E-1
1.812208333E1,2.264757383E-1,3.470021406E-1
1.812625000E1,2.271756382E-1,3.468867343E-1
1.813041667E1,2.272036705E-1,3.465437924E-1
1.813458333E1,2.278895542E-1,3.465998571E-1
1.813875000E1,2.278895542E-1,3.465998571E-1
1.814291667E1,2.287469089E-1,3.466699379E-1
1.814708333E1,2.287469089E-1,3.466699379E-1
1.815125000E1,2.292613217E-1,3.467119864E-1
1.815541667E1,2.294327926E-1,3.467260026E-1
1.815958333E1,2.297757345E-1,3.467540349E-1
1.816375000E1,2.299472054E-1,3.467680511E-1
1.816791667E1,2.308466086E-1,3.463237191E-1
1.817208333E1,2.314030699E-1,3.458513548E-1
1.817625000E1,2.314170860E-1,3.456798839E-1
1.818041667E1,2.315885570E-1,3.456939001E-1
1.818458333E1,2.326454149E-1,3.454350552E-1
1.818875000E1,2.335448180E-1,3.449907232E-1
1.819291667E1,2.337303051E-1,3.448332685E-1
1.819708333E1,2.345876598E-1,3.449033493E-1
1.820125000E1,2.347591307E-1,3.449173655E-1
1.820541667E1,2.356865662E-1,3.441300916E-1
1.820958333E1,2.372718531E-1,3.437418243E-1
1.821375000E1,2.372718531E-1,3.437418243E-1
1.821791667E1,2.384861658E-1,3.436684666E-1
1.822250000E1,2.393715528E-1,3.433956055E-1
1.822666667E1,2.397565431E-1,3.429092251E-1
1.823083333E1,2.401415335E-1,3.424228446E-1
1.823500000E1,2.401415335E-1,3.424228446E-1
1.823916667E1,2.411843752E-1,3.423354707E-1
1.824333333E1,2.432840749E-1,3.419892519E-1
1.824750000E1,2.441834781E-1,3.415449199E-1
1.825166667E1,2.442255266E-1,3.410305071E-1
1.825583333E1,2.447399394E-1,3.410725556E-1
1.826000000E1,2.449114103E-1,3.410865718E-1
1.826416667E1,2.454538554E-1,3.407856784E-1
1.826833333E1,2.470391423E-1,3.403974111E-1
1.827250000E1,2.476376521E-1,3.394106340E-1
1.827666667E1,2.491075327E-1,3.383224668E-1
1.828083333E1,2.498354649E-1,3.378641187E-1
1.828500000E1,2.517636937E-1,3.375038837E-1
1.828916667E1,2.538914257E-1,3.368147231E-1
1.829333333E1,2.539054418E-1,3.366432521E-1
1.829750000E1,2.546614064E-1,3.358419622E-1
1.830166667E1,2.561172708E-1,3.349252659E-1
1.830583333E1,2.578006709E-1,3.333367021E-1
1.831000000E1,2.595994772E-1,3.324480382E-1
1.831416667E1,2.606703513E-1,3.320177224E-1
1.831833333E1,2.621542481E-1,3.307580842E-1
1.832250000E1,2.627247255E-1,3.301142490E-1
1.832666667E1,2.643941094E-1,3.286971561E-1
1.833083333E1,2.657205514E-1,3.272520309E-1
1.833500000E1,2.660915256E-1,3.269371214E-1
1.833916667E1,2.690453030E-1,3.245893161E-1
1.834333333E1,2.706726384E-1,3.236866360E-1
1.834750000E1,2.717855610E-1,3.227419074E-1
1.835166667E1,2.729965967E-1,3.205968823E-1
1.835583333E1,2.741936163E-1,3.186233281E-1
1.836000000E1,2.766329809E-1,3.162334743E-1
1.836416667E1,2.783303971E-1,3.144734395E-1
1.836833333E1,2.798283100E-1,3.130423305E-1
1.837250000E1,2.810673781E-1,3.105543635E-1
1.837666667E1,2.817640011E-1,3.083672899E-1
1.838083333E1,2.835455143E-1,3.055784296E-1
1.838500000E1,2.848859725E-1,3.039618334E-1
1.838916667E1,2.860689759E-1,3.021597502E-1
1.839333333E1,2.870945245E-1,3.001721798E-1
1.839750000E1,2.888199731E-1,2.980692032E-1
1.840166667E1,2.890722641E-1,2.949827264E-1
1.840583333E1,2.909378743E-1,2.911650405E-1
1.841000000E1,2.927894683E-1,2.875188255E-1
1.841416667E1,2.944154696E-1,2.843793102E-1
1.841833333E1,2.972373275E-1,2.797268470E-1
1.842250000E1,2.987473818E-1,2.761879369E-1
1.842666667E1,2.996534143E-1,2.740645908E-1
1.843083333E1,3.011086300E-1,2.702072297E-1
1.843500000E1,3.020838368E-1,2.672356590E-1
