mass_A
t,x,y
1.609129167E2,2.077177807E-1,4.232293279E-1
1.609170833E2,2.079789564E-1,4.234977728E-1
1.609212500E2,2.083332483E-1,4.234143489E-1
1.609254167E2,2.085968470E-1,4.235062537E-1
1.609295833E2,2.088616573E-1,4.235098883E-1
1.609337500E2,2.087733872E-1,4.235086768E-1
1.609379167E2,2.087733872E-1,4.235086768E-1
1.609420833E2,2.089499274E-1,4.235110999E-1
1.609462500E2,2.089499274E-1,4.235110999E-1
1.609504167E2,2.089499274E-1,4.235110999E-1
1.609545833E2,2.092147377E-1,4.235147345E-1
1.609587500E2,2.096560882E-1,4.235207923E-1
1.609629167E2,2.097443583E-1,4.235220038E-1
1.609670833E2,2.100091686E-1,4.235256385E-1
1.609712500E2,2.104517306E-1,4.234434261E-1
1.609754167E2,2.107165409E-1,4.234470608E-1
1.609795833E2,2.107165409E-1,4.234470608E-1
1.609837500E2,2.107165409E-1,4.234470608E-1
1.609879167E2,2.109813512E-1,4.234506954E-1
1.609920833E2,2.112461615E-1,4.234543301E-1
1.609962500E2,2.113344316E-1,4.234555416E-1
1.610004167E2,2.118640521E-1,4.234628109E-1
1.610045833E2,2.121288624E-1,4.234664456E-1
1.610087500E2,2.121288624E-1,4.234664456E-1
1.610129167E2,2.121288624E-1,4.234664456E-1
1.610170833E2,2.126584830E-1,4.234737149E-1
1.610212500E2,2.126584830E-1,4.234737149E-1
1.610254167E2,2.133658553E-1,4.233951372E-1
1.610295833E2,2.134541254E-1,4.233963487E-1
1.610337500E2,2.134541254E-1,4.233963487E-1
1.610379167E2,2.138954759E-1,4.234024065E-1
1.610420833E2,2.144250965E-1,4.234096758E-1
1.610462500E2,2.146899068E-1,4.234133105E-1
1.610504167E2,2.153077974E-1,4.234217913E-1
1.610545833E2,2.155750308E-1,4.232488858E-1
1.610587500E2,2.161058630E-1,4.231678850E-1
1.610629167E2,2.162824032E-1,4.231703081E-1
1.610670833E2,2.165472134E-1,4.231739427E-1
1.610712500E2,2.169002938E-1,4.231787889E-1
1.610754167E2,2.171651041E-1,4.231824236E-1
1.610795833E2,2.176064546E-1,4.231884813E-1
1.610837500E2,2.179595350E-1,4.231933275E-1
1.610879167E2,2.184891556E-1,4.232005968E-1
1.610920833E2,2.191953163E-1,4.232102892E-1
1.610962500E2,2.194601266E-1,4.232139239E-1
1.611004167E2,2.198132070E-1,4.232187701E-1
1.611045833E2,2.200780173E-1,4.232224047E-1
1.611087500E2,2.208748713E-1,4.230567685E-1
1.611129167E2,2.218494770E-1,4.228052853E-1
1.611170833E2,2.227333895E-1,4.227291307E-1
1.611212500E2,2.229099297E-1,4.227315538E-1
1.611254167E2,2.235302434E-1,4.225634944E-1
1.611295833E2,2.245012145E-1,4.225768215E-1
1.611337500E2,2.245906962E-1,4.224897629E-1
1.611379167E2,2.250320466E-1,4.224958207E-1
1.611420833E2,2.255616672E-1,4.225030900E-1
1.611462500E2,2.267116016E-1,4.223423000E-1
1.611504167E2,2.276837842E-1,4.222673569E-1
1.611545833E2,2.279485945E-1,4.222709916E-1
1.611587500E2,2.292762806E-1,4.220243545E-1
1.611629167E2,2.301589815E-1,4.220364700E-1
1.611670833E2,2.304237918E-1,4.220401047E-1
1.611712500E2,2.314866676E-1,4.217898330E-1
1.611754167E2,2.322835216E-1,4.216241968E-1
1.611795833E2,2.337853248E-1,4.215565230E-1
1.611837500E2,2.344056385E-1,4.213884637E-1
1.611879167E2,2.352012810E-1,4.213110975E-1
1.611920833E2,2.361746751E-1,4.211478844E-1
1.611962500E2,2.370610107E-1,4.208951896E-1
1.612004167E2,2.380331933E-1,4.208202466E-1
1.612045833E2,2.398905000E-1,4.205808788E-1
1.612087500E2,2.412218208E-1,4.200694315E-1
1.612129167E2,2.425482953E-1,4.199110646E-1
1.612170833E2,2.440549447E-1,4.194903105E-1
1.612212500E2,2.451153974E-1,4.194165790E-1
1.612254167E2,2.458215582E-1,4.194262714E-1
1.612295833E2,2.468844340E-1,4.191759997E-1
1.612337500E2,2.484841996E-1,4.184033767E-1
1.612379167E2,2.505216812E-1,4.179016218E-1
1.612420833E2,2.516691924E-1,4.179173720E-1
1.612462500E2,2.535277106E-1,4.175897341E-1
1.612504167E2,2.551238417E-1,4.170819215E-1
1.612545833E2,2.565458556E-1,4.163951455E-1
1.612587500E2,2.584055854E-1,4.159792376E-1
1.612629167E2,2.600887750E-1,4.155609065E-1
1.612670833E2,2.617719645E-1,4.151425755E-1
1.612712500E2,2.636413867E-1,4.140205068E-1
1.612754167E2,2.655047511E-1,4.133397886E-1
1.612795833E2,2.672810570E-1,4.125695888E-1
1.612837500E2,2.694987134E-1,4.118054466E-1
1.612879167E2,2.713572316E-1,4.114778088E-1
1.612920833E2,2.731359606E-1,4.105310688E-1
1.612962500E2,2.755350033E-1,4.094162694E-1
1.613004167E2,2.776680242E-1,4.083861054E-1
1.613045833E2,2.797151982E-1,4.071781897E-1
1.613087500E2,2.819340661E-1,4.063257775E-1
1.613129167E2,2.843355319E-1,4.050344380E-1
1.613170833E2,2.862025310E-1,4.040889095E-1
1.613212500E2,2.889619234E-1,4.024493357E-1
1.613254167E2,2.910985790E-1,4.011543614E-1
1.613295833E2,2.937684898E-1,3.996018462E-1
1.613337500E2,2.961711672E-1,3.982222365E-1
1.613379167E2,2.990273106E-1,3.959659837E-1
1.613420833E2,3.016996445E-1,3.942369282E-1
1.613462500E2,3.042885545E-1,3.921535809E-1
1.613504167E2,3.068750414E-1,3.902467737E-1
1.613545833E2,3.098158202E-1,3.882565427E-1
1.613587500E2,3.125861166E-1,3.858225381E-1
1.613629167E2,3.150928142E-1,3.832966287E-1
1.613670833E2,3.179538038E-1,3.806872954E-1
1.613712500E2,3.203650787E-1,3.784914581E-1
1.613754167E2,3.237798288E-1,3.751691770E-1
1.613795833E2,3.265349922E-1,3.717717810E-1
1.613837500E2,3.288866072E-1,3.688973403E-1
1.613879167E2,3.319711107E-1,3.655705264E-1
1.613920833E2,3.346611314E-1,3.621061745E-1
1.613962500E2,3.375556460E-1,3.581821970E-1
1.614004167E2,3.403080897E-1,3.549829490E-1
1.614045833E2,3.430777581E-1,3.505287638E-1
1.614087500E2,3.460428548E-1,3.462754463E-1
1.614129167E2,3.485437931E-1,3.421478815E-1
1.614170833E2,3.509913738E-1,3.370947196E-1
1.614212500E2,3.534407678E-1,3.319094590E-1
1.614254167E2,3.554956788E-1,3.265866604E-1
1.614295833E2,3.581902323E-1,3.227920619E-1
1.614337500E2,3.605193128E-1,3.167463470E-1
1.614379167E2,3.628465802E-1,3.108327307E-1
1.614420833E2,3.642391849E-1,3.056329652E-1
1.614462500E2,3.659041460E-1,2.998423820E-1
1.614504167E2,3.677057384E-1,2.937233652E-1
1.614545833E2,3.690395463E-1,2.879942985E-1
1.614587500E2,3.705823808E-1,2.814753596E-1
1.614629167E2,3.719143756E-1,2.758783916E-1
1.614670833E2,3.728012496E-1,2.690201405E-1
1.614712500E2,3.742735021E-1,2.628305416E-1
1.614754167E2,3.749558822E-1,2.564319161E-1
1.614795833E2,3.759124319E-1,2.493103742E-1
1.614837500E2,3.765916391E-1,2.431429213E-1
1.614879167E2,3.771192320E-1,2.359619321E-1
1.614920833E2,3.772131358E-1,2.291203668E-1
1.614962500E2,3.777853479E-1,2.218134455E-1
1.615004167E2,3.773244635E-1,2.152788794E-1
1.615045833E2,3.775067202E-1,2.077306452E-1
1.615087500E2,3.770512326E-1,2.008028857E-1
1.615129167E2,3.769986526E-1,1.931727748E-1
1.615170833E2,3.762199755E-1,1.868698073E-1
1.615212500E2,3.760058007E-1,1.795520925E-1
1.615254167E2,3.754617231E-1,1.714996087E-1
1.615295833E2,3.742217371E-1,1.645856943E-1
1.615337500E2,3.729771714E-1,1.580054378E-1
1.615379167E2,3.716274926E-1,1.509787776E-1
1.615420833E2,3.700507957E-1,1.442827221E-1
1.615462500E2,3.680322746E-1,1.373581220E-1
1.615504167E2,3.656694099E-1,1.312074772E-1
1.615545833E2,3.620755003E-1,1.255961370E-1
1.615587500E2,3.582567182E-1,1.201766258E-1
1.615629167E2,3.531915724E-1,1.161342016E-1
1.615670833E2,3.475036897E-1,1.124363769E-1
1.615712500E2,3.422535229E-1,1.090094202E-1
1.615754167E2,3.356780930E-1,1.056525604E-1
1.615795833E2,3.280313065E-1,1.031638629E-1
1.615837500E2,3.193180095E-1,1.011902474E-1
1.615879167E2,3.128851964E-1,1.003073733E-1
1.615920833E2,3.057680305E-1,9.782594516E-2
1.615962500E2,2.983763619E-1,9.604704310E-2
1.616004167E2,2.864998801E-1,9.297057063E-2
1.616045833E2,2.784044738E-1,9.100543598E-2
1.616087500E2,2.691086005E-1,8.916407147E-2
1.616129167E2,2.610035712E-1,8.766552884E-2
1.616170833E2,2.523936531E-1,8.685370492E-2
1.616212500E2,2.412146105E-1,8.551115525E-2
1.616254167E2,2.317211855E-1,8.409264885E-2
1.616295833E2,2.228503368E-1,8.338037640E-2
1.616337500E2,2.130205015E-1,8.324545709E-2
1.616379167E2,2.035106178E-1,8.272166179E-2
1.616420833E2,1.948571247E-1,8.283884885E-2
1.616462500E2,1.844325882E-1,8.324540437E-2
1.616504167E2,1.737868615E-1,8.395808954E-2
1.616545833E2,1.643345555E-1,8.435684616E-2
1.616587500E2,1.561887310E-1,8.583052317E-2
1.616629167E2,1.449458408E-1,8.673319728E-2
1.616670833E2,1.352075800E-1,8.871351147E-2
1.616712500E2,1.256086704E-1,9.016724417E-2
